西元,星期,學年度,民國,生肖年,農曆年,農曆月,農曆日,臺灣國曆節假日,臺灣農曆節假日
2024/1/1,一,112,113/1/1,兔,癸卯,冬,二十,開國紀念日,
2024/1/2,二,112,113/1/2,兔,癸卯,冬,廿一,,
2024/1/3,三,112,113/1/3,兔,癸卯,冬,廿二,,
2024/1/4,四,112,113/1/4,兔,癸卯,冬,廿三,,
2024/1/5,五,112,113/1/5,兔,癸卯,冬,廿四,,
2024/1/6,六,112,113/1/6,兔,癸卯,冬,廿五,,
2024/1/7,日,112,113/1/7,兔,癸卯,冬,廿六,,
2024/1/8,一,112,113/1/8,兔,癸卯,冬,廿七,,
2024/1/9,二,112,113/1/9,兔,癸卯,冬,廿八,,
2024/1/10,三,112,113/1/10,兔,癸卯,冬,廿九,,
2024/1/11,四,112,113/1/11,兔,癸卯,腊,初一,,
2024/1/12,五,112,113/1/12,兔,癸卯,腊,初二,,
2024/1/13,六,112,113/1/13,兔,癸卯,腊,初三,,
2024/1/14,日,112,113/1/14,兔,癸卯,腊,初四,,
2024/1/15,一,112,113/1/15,兔,癸卯,腊,初五,,
2024/1/16,二,112,113/1/16,兔,癸卯,腊,初六,,
2024/1/17,三,112,113/1/17,兔,癸卯,腊,初七,,
2024/1/18,四,112,113/1/18,兔,癸卯,腊,初八,,
2024/1/19,五,112,113/1/19,兔,癸卯,腊,初九,,
2024/1/20,六,112,113/1/20,兔,癸卯,腊,初十,,
2024/1/21,日,112,113/1/21,兔,癸卯,腊,十一,,
2024/1/22,一,112,113/1/22,兔,癸卯,腊,十二,,
2024/1/23,二,112,113/1/23,兔,癸卯,腊,十三,,
2024/1/24,三,112,113/1/24,兔,癸卯,腊,十四,,
2024/1/25,四,112,113/1/25,兔,癸卯,腊,十五,,
2024/1/26,五,112,113/1/26,兔,癸卯,腊,十六,,
2024/1/27,六,112,113/1/27,兔,癸卯,腊,十七,,
2024/1/28,日,112,113/1/28,兔,癸卯,腊,十八,,
2024/1/29,一,112,113/1/29,兔,癸卯,腊,十九,,
2024/1/30,二,112,113/1/30,兔,癸卯,腊,二十,,
2024/1/31,三,112,113/1/31,兔,癸卯,腊,廿一,,
2024/2/1,四,112,113/2/1,兔,癸卯,腊,廿二,,
2024/2/2,五,112,113/2/2,兔,癸卯,腊,廿三,,
2024/2/3,六,112,113/2/3,兔,癸卯,腊,廿四,,
2024/2/4,日,112,113/2/4,兔,癸卯,腊,廿五,,
2024/2/5,一,112,113/2/5,兔,癸卯,腊,廿六,,
2024/2/6,二,112,113/2/6,兔,癸卯,腊,廿七,,
2024/2/7,三,112,113/2/7,兔,癸卯,腊,廿八,,
2024/2/8,四,112,113/2/8,兔,癸卯,腊,廿九,,
2024/2/9,五,112,113/2/9,兔,癸卯,腊,三十,,除夕
2024/2/10,六,112,113/2/10,龍,甲辰,正,初一,,春節
2024/2/11,日,112,113/2/11,龍,甲辰,正,初二,,春節
2024/2/12,一,112,113/2/12,龍,甲辰,正,初三,,春節
2024/2/13,二,112,113/2/13,龍,甲辰,正,初四,,
2024/2/14,三,112,113/2/14,龍,甲辰,正,初五,,
2024/2/15,四,112,113/2/15,龍,甲辰,正,初六,,
2024/2/16,五,112,113/2/16,龍,甲辰,正,初七,,
2024/2/17,六,112,113/2/17,龍,甲辰,正,初八,,
2024/2/18,日,112,113/2/18,龍,甲辰,正,初九,,
2024/2/19,一,112,113/2/19,龍,甲辰,正,初十,,
2024/2/20,二,112,113/2/20,龍,甲辰,正,十一,,
2024/2/21,三,112,113/2/21,龍,甲辰,正,十二,,
2024/2/22,四,112,113/2/22,龍,甲辰,正,十三,,
2024/2/23,五,112,113/2/23,龍,甲辰,正,十四,,
2024/2/24,六,112,113/2/24,龍,甲辰,正,十五,,
2024/2/25,日,112,113/2/25,龍,甲辰,正,十六,,
2024/2/26,一,112,113/2/26,龍,甲辰,正,十七,,
2024/2/27,二,112,113/2/27,龍,甲辰,正,十八,,
2024/2/28,三,112,113/2/28,龍,甲辰,正,十九,和平紀念日,
2024/2/29,四,112,113/2/29,龍,甲辰,正,二十,,
2024/3/1,五,112,113/3/1,龍,甲辰,正,廿一,,
2024/3/2,六,112,113/3/2,龍,甲辰,正,廿二,,
2024/3/3,日,112,113/3/3,龍,甲辰,正,廿三,,
2024/3/4,一,112,113/3/4,龍,甲辰,正,廿四,,
2024/3/5,二,112,113/3/5,龍,甲辰,正,廿五,,
2024/3/6,三,112,113/3/6,龍,甲辰,正,廿六,,
2024/3/7,四,112,113/3/7,龍,甲辰,正,廿七,,
2024/3/8,五,112,113/3/8,龍,甲辰,正,廿八,,
2024/3/9,六,112,113/3/9,龍,甲辰,正,廿九,,
2024/3/10,日,112,113/3/10,龍,甲辰,二,初一,,
2024/3/11,一,112,113/3/11,龍,甲辰,二,初二,,
2024/3/12,二,112,113/3/12,龍,甲辰,二,初三,,
2024/3/13,三,112,113/3/13,龍,甲辰,二,初四,,
2024/3/14,四,112,113/3/14,龍,甲辰,二,初五,,
2024/3/15,五,112,113/3/15,龍,甲辰,二,初六,,
2024/3/16,六,112,113/3/16,龍,甲辰,二,初七,,
2024/3/17,日,112,113/3/17,龍,甲辰,二,初八,,
2024/3/18,一,112,113/3/18,龍,甲辰,二,初九,,
2024/3/19,二,112,113/3/19,龍,甲辰,二,初十,,
2024/3/20,三,112,113/3/20,龍,甲辰,二,十一,,
2024/3/21,四,112,113/3/21,龍,甲辰,二,十二,,
2024/3/22,五,112,113/3/22,龍,甲辰,二,十三,,
2024/3/23,六,112,113/3/23,龍,甲辰,二,十四,,
2024/3/24,日,112,113/3/24,龍,甲辰,二,十五,,
2024/3/25,一,112,113/3/25,龍,甲辰,二,十六,,
2024/3/26,二,112,113/3/26,龍,甲辰,二,十七,,
2024/3/27,三,112,113/3/27,龍,甲辰,二,十八,,
2024/3/28,四,112,113/3/28,龍,甲辰,二,十九,,
2024/3/29,五,112,113/3/29,龍,甲辰,二,二十,,
2024/3/30,六,112,113/3/30,龍,甲辰,二,廿一,,
2024/3/31,日,112,113/3/31,龍,甲辰,二,廿二,,
2024/4/1,一,112,113/4/1,龍,甲辰,二,廿三,,
2024/4/2,二,112,113/4/2,龍,甲辰,二,廿四,,
2024/4/3,三,112,113/4/3,龍,甲辰,二,廿五,,
2024/4/4,四,112,113/4/4,龍,甲辰,二,廿六,兒童節,
2024/4/5,五,112,113/4/5,龍,甲辰,二,廿七,,
2024/4/6,六,112,113/4/6,龍,甲辰,二,廿八,,
2024/4/7,日,112,113/4/7,龍,甲辰,二,廿九,,
2024/4/8,一,112,113/4/8,龍,甲辰,二,三十,,
2024/4/9,二,112,113/4/9,龍,甲辰,三,初一,,
2024/4/10,三,112,113/4/10,龍,甲辰,三,初二,,
2024/4/11,四,112,113/4/11,龍,甲辰,三,初三,,
2024/4/12,五,112,113/4/12,龍,甲辰,三,初四,,
